iter	RMSE
353	186.3920139
354	186.326865
355	186.2306694
356	186.1418086
357	186.0791992
358	185.9445769
359	185.8075677
360	185.6669175
361	185.5418688
362	185.4889057
363	185.2385147
364	185.1138193
365	184.8746513
366	184.8177625
367	184.75393
368	184.6719359
369	184.5880319
370	184.5033144
371	184.2747491
372	184.0694578
373	183.6866797
374	183.6095247
375	183.5603896
376	183.2812568
377	183.2341214
378	183.0711329
379	183.0166957
380	182.9060198
381	182.7421821
382	182.6250625
383	182.4975566
384	182.4339709
385	182.3885575
386	182.3279593
387	182.2114356
388	182.0134528
389	181.8161314
390	181.6874105
391	181.4924709
392	181.4912615
393	181.2240718
394	180.9858583
